,image,label
0,C84P45ThinF_IMG_20150818_101903_cell_10.png,1
1,C116P77ThinF_IMG_20150930_171844_cell_110.png,1
2,C234ThinF_IMG_20151112_162759_cell_22.png,1
3,C99P60ThinF_IMG_20150918_141129_cell_113.png,1
4,C130P91ThinF_IMG_20151004_141504_cell_72.png,1
5,C99P60ThinF_IMG_20150918_141520_cell_107.png,1
6,C176P137NThinF_IMG_20151201_121030_cell_14.png,1
7,C39P4thinF_original_IMG_20150622_112119_cell_2.png,1
8,C180P141NThinF_IMG_20151201_163848_cell_154.png,1
9,C68P29N_ThinF_IMG_20150819_134830_cell_3.png,1
10,C76P37ThinF_IMG_20150815_171454_cell_226.png,1
11,C184P145ThinF_IMG_20151203_104334_cell_18.png,1
12,C45P6ThinF_IMG_20151130_155110_cell_196.png,1
13,C91P52ThinF_IMG_20150821_124937_cell_117.png,1
14,C4thin_original_IMG_20150608_165540_cell_50.png,1
15,C84P45ThinF_IMG_20150818_101412_cell_106.png,1
16,C167P128ReThinF_IMG_20151201_105102_cell_219.png,1
17,C68P29N_ThinF_IMG_20150819_134112_cell_154.png,1
18,C128P89ThinF_IMG_20151004_131030_cell_152.png,1
19,C180P141NThinF_IMG_20151201_165453_cell_2.png,1
20,C39P4thinF_original_IMG_20150622_113632_cell_31.png,1
21,C210ThinF_IMG_20151029_162439_cell_263.png,1
22,C49P10thinF_IMG_20150724_102330_cell_219.png,1
23,C116P77ThinF_IMG_20150930_171844_cell_88.png,1
24,C141P102ThinF_IMG_20151005_215348_cell_132.png,1
25,C212ThinF_IMG_20151106_110411_cell_179.png,1
26,C211ThinF_IMG_20151029_164451_cell_231.png,1
27,C185P146ThinF_IMG_20151203_110344_cell_19.png,1
28,C105P66ThinF_IMG_20150924_095913_cell_88.png,1
29,C97P58ThinF_IMG_20150917_151437_cell_63.png,1
30,C128P89ThinF_IMG_20151004_131030_cell_159.png,1
31,C158P119ThinF_IMG_20151115_181859_cell_68.png,1
32,C47P8thin_Original_Motic_IMG_20150714_093715_cell_29.png,1
33,C137P98ThinF_IMG_20151005_161449_cell_5.png,1
34,C51AP12thinF_IMG_20150724_153313_cell_43.png,1
35,C144P105ThinF_IMG_20151015_155149_cell_140.png,1
36,C56P17thinF_IMG_20150728_153413_cell_105.png,1
37,C140P101ThinF_IMG_20151005_210207_cell_23.png,1
38,C60P21thinF_IMG_20150803_144629_cell_11.png,1
39,C224ThinF_IMG_20151112_112334_cell_1.png,1
40,C225ThinF_IMG_20151112_113836_cell_114.png,1
41,C101P62ThinF_IMG_20150918_151335_cell_55.png,1
42,C70P31_ThinF_IMG_20150819_142239_cell_5.png,1
43,C203ThinF_IMG_20151029_105443_cell_268.png,1
44,C39P4thinF_original_IMG_20150622_111206_cell_75.png,1
45,C94P55ThinF_IMG_20150821_165118_cell_231.png,1
46,C70P31_ThinF_IMG_20150813_131330_cell_98.png,1
47,C60P21thinF_IMG_20150804_105034_cell_113.png,1
48,C58P19thinF_IMG_20150802_122215_cell_89.png,1
49,C240ThinF_IMG_20151127_115306_cell_105.png,1
50,C150P111ThinF_IMG_20151115_115922_cell_7.png,1
51,C128P89ThinF_IMG_20151004_130810_cell_148.png,1
52,C133P94ThinF_IMG_20151004_155912_cell_9.png,1
53,C182P143NThinF_IMG_20151201_171905_cell_142.png,1
54,C80P41ThinF_IMG_20150817_110957_cell_125.png,1
55,C101P62ThinF_IMG_20150918_151942_cell_77.png,1
56,C126P87ThinF_IMG_20151004_104408_cell_10.png,1
57,C227ThinF_IMG_20151112_135158_cell_17.png,1
58,C120P81ThinF_IMG_20151002_130918_cell_209.png,1
59,C59P20thinF_IMG_20150803_113809_cell_42.png,1
60,C86P47ThinF_IMG_20150820_124943_cell_51.png,1
61,C132P93ThinF_IMG_20151004_151941_cell_29.png,1
62,C60P21thinF_IMG_20150803_144003_cell_32.png,1
63,C99P60ThinF_IMG_20150918_142128_cell_93.png,1
64,C48P9thinF_IMG_20150721_160406_cell_201.png,1
65,C132P93ThinF_IMG_20151004_152257_cell_8.png,1
66,C140P101ThinF_IMG_20151005_211530_cell_146.png,1
67,C209ThinF_IMG_20151029_160857_cell_149.png,1
68,C210ThinF_IMG_20151029_162834_cell_158.png,1
69,C70P31_ThinF_IMG_20150813_131924_cell_2.png,1
70,C238NThinF_IMG_20151207_114605_cell_123.png,1
71,C181P142ThinF_IMG_20151127_155914_cell_155.png,1
72,C62P23N_ThinF_IMG_20150818_133055_cell_4.png,1
73,C116P77ThinF_IMG_20150930_171558_cell_90.png,1
74,C233ThinF_IMG_20151112_160059_cell_129.png,1
75,C137P98ThinF_IMG_20151005_161449_cell_12.png,1
76,C94P55ThinF_IMG_20150821_165519_cell_136.png,1
77,C39P4thinF_original_IMG_20150622_110900_cell_9.png,1
78,C39P4thinF_original_IMG_20150622_114804_cell_8.png,1
79,C180P141NThinF_IMG_20151201_165659_cell_42.png,1
80,C184P145ThinF_IMG_20151203_103326_cell_7.png,1
81,C131P92ThinF_IMG_20151004_150208_cell_112.png,1
82,C201ThinF_IMG_20150930_142848_cell_177.png,1
83,C132P93ThinF_IMG_20151004_152808_cell_11.png,1
84,C234ThinF_IMG_20151112_162940_cell_267.png,1
85,C128P89ThinF_IMG_20151004_130810_cell_80.png,1
86,C39P4thinF_original_IMG_20150622_114804_cell_17.png,1
87,C162P123ThinF_IMG_20151116_104114_cell_170.png,1
88,C133P94ThinF_IMG_20151004_155912_cell_18.png,1
89,C59P20thinF_IMG_20150803_112733_cell_189.png,1
90,C101P62ThinF_IMG_20150923_165215_cell_26.png,1
91,C52P13thinF_IMG_20150725_123938_cell_194.png,1
92,C146P107ThinF_IMG_20151018_134554_cell_38.png,1
